"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","hgnc_symbol"
"ENSG00000006747",427.45311429004,-1.05360723183377,0.124713700261799,-8.44820761169006,2.95809007881943e-17,3.61693741455648e-14,"SCIN"
"ENSG00000010030",61.649285958753,-1.21892107527117,0.360059683602241,-3.3853306292901,0.000710925672242105,0.0191622250333794,"ETV7"
"ENSG00000058085",52.0446170840246,-1.16295769474015,0.337161509897149,-3.44925995584403,0.000562125264948545,0.0162593221796945,"LAMC2"
"ENSG00000068615",73.2337012040477,-1.34123449075535,0.316123538268123,-4.24275426658602,2.20793158887247e-05,0.00140734069511168,"REEP1"
"ENSG00000103811",512.498934315249,-1.18877154738967,0.114682293184544,-10.36578110168,3.54847327062684e-25,1.59089884966437e-21,"CTSH"
"ENSG00000105974",143.619270685778,-1.23998621630024,0.231863483294782,-5.34791506916064,8.89731959944875e-08,1.7343325885882e-05,"CAV1"
"ENSG00000113721",39.9339423064668,-1.36576184664668,0.389343877219122,-3.50785494920736,0.000451735280980378,0.0137462432787015,"PDGFRB"
"ENSG00000116254",217.569950662663,-1.19654020143224,0.242809502251288,-4.92789693293765,8.31194410236155e-07,9.91748022344552e-05,"CHD5"
"ENSG00000122176",31.6814932433838,-1.78197512464949,0.529969365405195,-3.36241156748195,0.000772648696382845,0.0202575535406418,"FMOD"
"ENSG00000124406",78.6686598454779,-1.86484505554651,0.534363620541584,-3.48984284082899,0.000483304681516273,0.0144776123973138,"ATP8A1"
"ENSG00000125378",61.0468130205327,-1.26099467124144,0.304518918776576,-4.14094032747642,3.45884942122142e-05,0.00198809934681316,"BMP4"
"ENSG00000126838",38.2312958140291,-1.56923780678556,0.409653685826288,-3.83064491076246,0.000127807836434012,0.00538876300952184,"PZP"
"ENSG00000128510",783.670050923853,-1.38544854040026,0.127261256550804,-10.8866482851926,1.33462069919586e-27,8.97532420209214e-24,"CPA4"
"ENSG00000130775",66.5619935751987,-2.3238640427603,0.755342075221535,-3.07657168717728,0.00209395944985707,0.0411149702198213,"THEMIS2"
"ENSG00000132205",48.7678983373817,-1.31256693018393,0.376824988386393,-3.48322688419492,0.000495408318704179,0.0147743722540382,"EMILIN2"
"ENSG00000132334",123.544559863716,-1.80373950853613,0.555358895823469,-3.24788082463612,0.0011626795785745,0.0268694851062319,"PTPRE"
"ENSG00000132563",102.062431587593,-1.06822592226617,0.33047410217936,-3.23240434037521,0.00122753227369444,0.0278729998206401,"REEP2"
"ENSG00000133321",114.724133155794,-1.27955821606547,0.420326273519706,-3.04420231776323,0.00233298188060571,0.0443827528912967,"PLAAT4"
"ENSG00000136111",92.9029859484153,-2.10043642821142,0.652678857919504,-3.2181775198094,0.00129007946815178,0.028919281411069,"TBC1D4"
"ENSG00000136235",111.330119057434,-1.1404697542291,0.338011109321353,-3.37405997252248,0.000740682289245885,0.0197270827531825,"GPNMB"
"ENSG00000136490",48.973051263432,-2.88672208823676,0.961464810042724,-3.00242094987178,0.00267841525527543,0.0482904627124056,"LIMD2"
"ENSG00000141576",66.2820187079003,-1.86685423155547,0.554755803169301,-3.36518197897199,0.000764931904481506,0.0201400828731166,"RNF157"
"ENSG00000141750",35.8126414331584,-1.3083174343736,0.395315054162494,-3.30955631615238,0.000934439657703672,0.0227273298302249,"STAC2"
"ENSG00000143375",85.9046701078123,-2.10459975937644,0.302015250904611,-6.96852146728564,3.20289114282643e-12,1.48547882313846e-09,"CGN"
"ENSG00000143515",128.086748326324,-1.5834895489466,0.475984165987141,-3.32676938036922,0.000878590535936399,0.0219763733828712,"ATP8B2"
"ENSG00000153404",57.8516111356154,-1.41470695273645,0.366216086457233,-3.86303880428163,0.000111985210746388,0.00485397323713372,"PLEKHG4B"
"ENSG00000163082",48.8533125608352,-1.31660376899591,0.395463873638257,-3.32926433174082,0.00087075720613804,0.0219319933006679,"SGPP2"
"ENSG00000168952",61.6352314141132,-1.14930794258089,0.381339326579893,-3.01387206215695,0.00257936552305529,0.047200634401488,"STXBP6"
"ENSG00000169271",50.5685002005127,-1.68187590131116,0.467836133821023,-3.59501068798287,0.00032437825972273,0.0108737617986581,"HSPB3"
"ENSG00000171791",188.676319953026,-1.29011833927117,0.421243158459332,-3.06264520470715,0.00219390007123657,0.0422849887039654,"BCL2"
"ENSG00000172159",41.1645970787866,-1.14930136331527,0.379695590313901,-3.02690205689542,0.00247074000207849,0.0460907808986903,"FRMD3"
"ENSG00000173391",48.7841142004632,-2.39607012813608,0.447833342774983,-5.35036117071792,8.77788696086469e-08,1.7343325885882e-05,"OLR1"
"ENSG00000174827",57.9860265230767,-1.24840448438243,0.345855091496916,-3.60961719250434,0.000306649210858692,0.0103854689459844,"PDZK1"
"ENSG00000177679",37.2450596605208,-1.94732527787229,0.418911401831761,-4.64853730253529,3.34297170707498e-06,0.000317706443011436,"SRRM3"
"ENSG00000180525",35.8157012025727,-1.54763091367835,0.445357910092341,-3.47502734004986,0.000510801287950123,0.0150687621521491,"DIP2C-AS1"
"ENSG00000185483",36.7394248208073,-1.21986273237296,0.392673797732865,-3.10655495583342,0.00189281122407035,0.037940850914674,"ROR1"
"ENSG00000196684",41.7863080581015,-1.54130919895034,0.508322965293628,-3.03214551414181,0.00242822116632463,0.0457417012423897,"HSH2D"
"ENSG00000231784",32.4282030251031,-1.35955940326377,0.411876979553413,-3.30088708705668,0.0009637966168342,0.0231897397073703,"DBIL5P"
"ENSG00000237499",42.4398558635471,-1.73511936007331,0.571401676774301,-3.03660179975053,0.00239261301546633,0.0453301439068497,"WAKMAR2"
